cause,effect,causal
conflict,anxiety,causal
fear,blockage,causal
failure,loss,causal
preservatives,itchiness,causal
ceramics,potter,non_causal
violence,death,causal
term,article,non_causal
bombs,downturn,causal
walls,hospital,non_causal
contraction,pain,causal
tones,mood,causal
powder,flask,non_causal
register,cashier,non_causal
pills,parents,non_causal
crowd,fear,causal
amplifier,swing,causal
movie,impression,causal
reinstatement,remedy,non_causal
crowd,optimism,causal
questions,judge,non_causal
toners,hairdresser,non_causal
person,alibi,causal
data,category,non_causal
viruses,warts,causal
bus,group,non_causal
tofu,milk,non_causal
commands,malware,non_causal
exposure,deterioration,causal
insoles,spot,causal
victory,screaming,causal
coins,sack,non_causal
floats,amazement,causal
delusions,distress,causal
hinge,crack,causal
surgery,discomfort,causal
stove,manufacturer,non_causal
algorithms,software,non_causal
rocks,pile,non_causal
institutions,fraud,causal
heat,discoloration,causal
broth,flask,non_causal
injury,discomfort,causal
tests,information,causal
killings,firing,causal
corporal,army,non_causal
report,technician,non_causal
works,scheme,non_causal
garment,reliquary,non_causal
dryness,wrinkles,causal
oxygen,cell,non_causal
disease,pain,causal
moorhens,plump,non_causal
hull,ship,non_causal
memory,unit,non_causal
teaching,talent,causal
overdose,collapse,causal
eruption,earthquake,causal
glomeruli,kidneys,non_causal
spirits,rice,non_causal
addiction,neglect,causal
teeth,wolf,non_causal
bending,fracture,causal
background,student,non_causal
selling,fortune,causal
papers,range,non_causal
gas,pyrolysis,causal
erosion,rill,causal
buss,signal,causal
sensitivity,production,causal
shoe,mouth,non_causal
chicks,clutch,non_causal
stress,acne,causal
rampart,gangs,non_causal
earthquake,avalanche,causal
pointer,structure,non_causal
sentences,similarities,non_causal
growth,inflammation,causal
measuring,improvement,causal
disturbances,acne,causal
oats,island,non_causal
literature,problems,non_causal
bag,bin,non_causal
fight,screaming,causal
tornado,devastation,causal
burglar,prison,non_causal
parasite,pain,causal
singer,commotion,causal
dog,crate,non_causal
stroke,pain,causal
colds,fevers,causal
batteries,team,non_causal
interactions,contortions,causal
wound,death,causal
colors,canvases,non_causal
chopsticks,infection,causal
longings,tension,causal
commerce,demise,causal
padlock,flat,non_causal
allergies,fever,causal
resources,organisations,non_causal
transmitter,transmission,causal
notebook,astronomers,non_causal
password,system,non_causal
incubation,reduction,causal
device,beaker,non_causal
piece,fellow,non_causal
movement,earthquakes,causal
cantons,confederation,non_causal
device,termination,causal
success,celebration,causal
beverages,benefits,causal
passage,noise,causal
criminal,prison,non_causal
aftershocks,panic,causal
recession,crisis,causal
spring,valve,non_causal
siphon,cistern,non_causal
virus,disease,causal
crisis,recession,causal
